TM2_LINK,TM2_Code,Disorder,Module
http://id.who.int/icd/release/11/mms/1156594276/other,SB8Y,Other specified menstruation cycle disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1156594276/unspecified,SB8Z,"Menstruation cycle disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/2003357330,SB90,Menorrhagia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/823651501,SB91,Decreased menstruation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1974913461,SB92,Prolonged menstruation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/51084411,SB93,Metrorrhagia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/868871050,SB94,Amenorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1932827470,SB95,Menopausal disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/46039400,SB96,Dysmenorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1216941414/other,SB9Y,Other specified menstruation associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1216941414/unspecified,SB9Z,"Menstruation associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1159798626,,Pregnancy associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/105047793,SC00,Morning sickness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2122522849,SC01,Unstable fetus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/508215378,SC02,Bladder pressure disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/133635054,SC03,Eclampsia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1122223081,SC04,Floating sensation pregnancy disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1159798626/other,SC0Y,Other specified pregnancy associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1159798626/unspecified,SC0Z,"Pregnancy associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/2063581907,,Puerperium associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1326313936,SC10,Puerperal abdominal pain disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/195876056,SC11,Puerperal wind disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1093143450,SC12,Hypogalactia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/971623818,SC13,Postpartum lochiorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2063581907/other,SC1Y,Other specified puerperium associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/2063581907/unspecified,SC1Z,"Puerperium associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/102778076,,Other female reproductive system associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/493582315,SC20,Leukorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/200629598,SC21,Vaginal flatus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/140975269,SC22,Infertility disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1330935878,SC23,Uterine mass disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1315827723,SC24,Breast lump disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/102778076/other,SC2Y,Other specified other female reproductive system associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/102778076/unspecified,SC2Z,"Other female reproductive system associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/634206253/other,SC4Y,Other specified female reproductive system disorders (TM1) (including childbirth),TM1
http://id.who.int/icd/release/11/mms/634206253/unspecified,SC4Z,"Female reproductive system disorders (TM1) (including childbirth), unspecified",TM1
http://id.who.int/icd/release/11/mms/1063442626,,"Bone, joint and muscle system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/1186414463,,Joint impediment disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1088249821,SC50,Cold impediment disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/75266757,SC51,Wind impediment disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/941398477,SC52,Dampness impediment disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1186414463/other,SC5Y,Other specified joint impediment disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1186414463/unspecified,SC5Z,"Joint impediment disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/136820223,SC60,Muscle spasm disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1295216122,SC61,Lumbago disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1521642692,SC62,Numbness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1894151151,SC63,Wilting disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1063442626/other,SC6Y,"Other specified bone, joint and muscle system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/1063442626/unspecified,SC6Z,"Bone, joint and muscle system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/435568516,,"Eye, ear, nose and throat system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/943970662,SC70,Night blindness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/926272583,SC71,Wind glaucoma disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/847888905,SC72,Inflammatory eyelid disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/667126120,SC73,Non-inflammatory eyelid disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/16715198,SC74,Corneal opacity disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1436683128,SC75,Tinnitus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1741997263,,Deafness disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/2134285734,SC80,Sudden deafness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1684846978,SC81,Gradual deafness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1741997263/other,SC8Y,Other specified deafness disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1741997263/unspecified,SC8Z,"Deafness disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/2112395905,SC90,Allergic rhinitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1883277447,SC91,Nasal sinusitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2086496156,SC92,Hoarseness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/172594692,SC93,Tonsillitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/435568516/other,SC9Y,"Other specified eye, ear, nose and throat system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/435568516/unspecified,SC9Z,"Eye, ear, nose and throat system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/250371211,,Brain system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/504580572,SD00,Facial paralysis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/600201167,,Headache disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/578005716,SD10,Migraine disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1657041603,SD11,Head wind disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/600201167/other,SD1Y,Other specified headache disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/600201167/unspecified,SD1Z,"Headache disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1756298260,SD20,Convulsion disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1808074286,SD21,Cerebral tinnitus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1875703165,SD22,Vertigo disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/275724804,SD23,Forgetfulness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1763126515,SD24,Frequent protrusion of tongue disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/682077015,,Wind stroke disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1612346854,SD30,Prodrome of wind stroke disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2029530253,SD31,Sequela of wind stroke disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/682077015/other,SD3Y,Other specified wind stroke disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/682077015/unspecified,SD3Z,"Wind stroke disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1422794524,SD40,Syncope disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/250371211/other,SD4Y,Other specified brain system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/250371211/unspecified,SD4Z,"Brain system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/111874651/other,SD6Y,Other specified other body system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/111874651/unspecified,SD6Z,"Other body system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1055520234,,"Qi, blood and fluid disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/738109819,SD70,Qi goiter disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1080298782,SD71,Wasting thirst disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1125119780,SD72,Consumptive disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1055520234/other,SD7Y,"Other specified qi, blood and fluid disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/1055520234/unspecified,SD7Z,"Qi, blood and fluid disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1350805389,,Mental and emotional disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1582173013,SD80,Lily disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/316527460,SD81,Manic disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/480354492,SD82,Depression disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1476429220,SD83,Uneasiness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/607986723,SD84,Insomnia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1620836667,SD85,Somnolence disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/706272887,SD86,Dementia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1857682287,SD87,Repressed fire disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1350805389/other,SD8Y,Other specified mental and emotional disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1350805389/unspecified,SD8Z,"Mental and emotional disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/672879010,,External contraction disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1537713046,SD90,Seasonal cold disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1696155577,SD91,Fatigue consumption disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/335379453,SD92,Severe vomiting and diarrhoea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/345202067,SD93,Alternating fever and chills disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/374168244,SD94,Parasitic disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1125554096,SD95,Flowing phlegm disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/615154833,,Warmth disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1647241309,SE00,Summer-heat disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1626402684,SE01,Spring warmth disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1631916647,SE02,Dampness and warmth disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/615154833/other,SE0Y,Other specified warmth disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/615154833/unspecified,SE0Z,"Warmth disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/672879010/other,SE2Y,Other specified external contraction disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/672879010/unspecified,SE2Z,"External contraction disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/386528385,,Childhood and adolescence associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/999798974,SE30,Developmental delay disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/910142138,SE31,Growth fever disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/507120621,SE32,Growth pain disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/961134489,SE33,Acute convulsion disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/736337337,SE34,Recurrent convulsion disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/887205279,SE35,Fright seizure disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/956056196,SE36,Night crying disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1022734807,SE37,Infantile malnutrition disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/700447416,SE38,Dribbling disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1027624138,SE39,Diaper dermatitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1067338733,SE3A,Infant stiffness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/842422763,SE3B,Infant limpness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/386528385/other,SE3Y,Other specified childhood and adolescence associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/386528385/unspecified,SE3Z,"Childhood and adolescence associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/66486001/other,SE5Y,Other specified traditional medicine disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/66486001/unspecified,SE5Z,"Traditional medicine disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/347093131,,Traditional medicine patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/817731121,,Principle-based patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/1784846003,SE70,Yang pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1249733117,SE71,Yin pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/2122661793,SE72,Heat pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1535874374,SE73,Cold pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/197299336,SE74,Excess pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1776236394,SE75,Deficiency pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/632404263,SE76,Exterior pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1869399497,SE77,Interior pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1598663041,SE78,Moderate (Heat/Cold) pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/834442164,SE79,Medium (Excess/Deficiency) pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1301694476,SE7A,Tangled cold and heat pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/817731121/other,SE7Y,Other specified principle-based patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/817731121/unspecified,SE7Z,"Principle-based patterns (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/672608669,,Environmental factor patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/613042039,SE80,Wind factor pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1217643405,SE81,Cold factor pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/693907194,SE82,Dampness factor pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/412270965,SE83,Dryness factor pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1040590385,SE84,Fire-heat factor pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/351552398,SE85,Summer-heat factor pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1022686558,SE86,Pestilent factor pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/672608669/other,SE8Y,Other specified environmental factor patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/672608669/unspecified,SE8Z,"Environmental factor patterns (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/662161366,,Body constituents patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/256171555,,Qi patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/1235397351,SE90,Qi deficiency pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/218337279,SE91,Qi stagnation pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/828599543,SE92,Qi uprising pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/2101585348,SE93,Qi sinking pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/2034914961,SE94,Qi collapse pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/256171555/other,SE9Y,Other specified qi patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/256171555/unspecified,SE9Z,"Qi patterns (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/721001453,,Blood patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/2135055784,SF00,Blood deficiency pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1004763328,SF01,Blood stasis pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1298058608,SF02,Blood heat pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1899900536,SF03,Blood cold pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/899615584,SF04,Blood dryness pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/721001453/other,SF0Y,Other specified blood patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/721001453/unspecified,SF0Z,"Blood patterns (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/208501929,,Fluid patterns (TM1),TM1
http://id.who.int/icd/release/11/mms/1902618610,SF10,Fluid deficiency pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/59596855,SF11,Fluid disturbance pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1870160234,SF12,Dry-phlegm pattern (TM1),TM1
http://id.who.int/icd/release/11/mms/1657828206,SF13,Damp phlegm pattern (TM1),TM1
